batsman_id_,season_,bowling_team_,venue_id_,bowled_sum,caught_sum,caught and bowled_sum,hit wicket_sum,lbw_sum,obstructing the field_sum,retired hurt_sum,run out_sum,stumped_sum,is_dismissed_sum,innings_sum,deliveries_sum,batsman_runs_sum,batsman_runs_amax,50s_sum,100s_sum,not_outs_sum,average_runs_,batsman_id,season,bowling_team,venue_id,0_runs,1_runs,2_runs,3_runs,4_runs,6_runs
1,2008,DC,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,24,37,37,0,0,0,37.0,1,2008,DC,4,7,9,3,0,4,1
1,2008,DC,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,31,23,23,0,0,0,23.0,1,2008,DC,5,18,7,4,0,2,0
1,2008,DD,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,31,33,33,0,0,0,33.0,1,2008,DD,2,10,15,3,0,3,0
1,2008,DD,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,27,32,32,0,0,0,32.0,1,2008,DD,5,8,14,2,0,2,1
1,2008,KKR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,27,43,43,0,0,1,43.0,1,2008,KKR,5,6,13,3,0,3,2
1,2008,KXI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,40,60,60,1,0,1,60.0,1,2008,KXI,5,12,17,4,1,2,4
1,2008,KXI,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,3,2,2,0,0,0,2.0,1,2008,KXI,9,1,2,0,0,0,0
1,2008,MI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,33,43,43,0,0,1,43.0,1,2008,MI,1,14,11,1,0,6,1
1,2008,MI,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,15,30,30,0,0,0,30.0,1,2008,MI,5,4,4,2,0,4,1
1,2008,RCB,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,4,4,0,0,0,4.0,1,2008,RCB,5,5,2,1,0,0,0
